year,leaid,fips,grade,race,sex,enrollment
2013,100002,1,3,1,1,-1
2013,100002,1,3,1,2,-1
2013,100002,1,3,1,99,0
2013,100002,1,3,2,1,-1
2013,100002,1,3,2,2,-1
2013,100002,1,3,2,99,0
2013,100002,1,3,3,1,-1
2013,100002,1,3,3,2,-1
2013,100002,1,3,3,99,0
2013,100002,1,3,4,1,-1
2013,100002,1,3,4,2,-1
2013,100002,1,3,4,99,0
2013,100002,1,3,5,1,-1
2013,100002,1,3,5,2,-1
2013,100002,1,3,5,99,0
2013,100002,1,3,6,1,-1
2013,100002,1,3,6,2,-1
2013,100002,1,3,6,99,0
2013,100002,1,3,7,1,-1
2013,100002,1,3,7,2,-1
2013,100002,1,3,7,99,0
2013,100002,1,3,99,1,0
2013,100002,1,3,99,2,0
2013,100002,1,3,99,99,-1
2013,100002,1,4,1,1,-1
2013,100002,1,4,1,2,-1
2013,100002,1,4,1,99,0
2013,100002,1,4,2,1,-1
2013,100002,1,4,2,2,-1
2014,100002,1,3,1,1,-1
2014,100002,1,3,1,2,-1
2014,100002,1,3,1,99,0
2014,100002,1,3,2,1,-1
2014,100002,1,3,2,2,-1
2014,100002,1,3,2,99,0
2014,100002,1,3,3,1,-1
2014,100002,1,3,3,2,-1
2014,100002,1,3,3,99,0
2014,100002,1,3,4,1,-1
2014,100002,1,3,4,2,-1
2014,100002,1,3,4,99,0
2014,100002,1,3,5,1,-1
2014,100002,1,3,5,2,-1
2014,100002,1,3,5,99,0
2014,100002,1,3,6,1,-1
2014,100002,1,3,6,2,-1
2014,100002,1,3,6,99,0
2014,100002,1,3,7,1,-1
2014,100002,1,3,7,2,-1
2014,100002,1,3,7,99,0
2014,100002,1,3,99,1,0
2014,100002,1,3,99,2,0
2014,100002,1,3,99,99,-1
2014,100002,1,4,1,1,-1
2014,100002,1,4,1,2,-1
2014,100002,1,4,1,99,0
2014,100002,1,4,2,1,-1
2014,100002,1,4,2,2,-1
2014,100002,1,4,2,99,0
2014,100002,1,4,3,1,-1
2014,100002,1,4,3,2,-1
2014,100002,1,4,3,99,0
2014,100002,1,4,4,1,-1
2014,100002,1,4,4,2,-1
2014,100002,1,4,4,99,0
2014,100002,1,4,5,1,-1
2014,100002,1,4,5,2,-1
2014,100002,1,4,5,99,0
2014,100002,1,4,6,1,-1
2014,100002,1,4,6,2,-1
2014,100002,1,4,6,99,0
2014,100002,1,4,7,1,-1
2015,100002,1,3,1,1,-1
2015,100002,1,3,1,2,-1
2015,100002,1,3,1,99,0
2015,100002,1,3,2,1,-1
2015,100002,1,3,2,2,-1
2015,100002,1,3,2,99,0
2015,100002,1,3,3,1,-1
2015,100002,1,3,3,2,-1
2015,100002,1,3,3,99,0
2015,100002,1,3,4,1,-1
2015,100002,1,3,4,2,-1
2015,100002,1,3,4,99,0
2015,100002,1,3,5,1,-1
2015,100002,1,3,5,2,-1
2015,100002,1,3,5,99,0
2015,100002,1,3,6,1,-1
2015,100002,1,3,6,2,-1
2015,100002,1,3,6,99,0
2015,100002,1,3,7,1,-1
2015,100002,1,3,7,2,-1
2015,100002,1,3,7,99,0
2015,100002,1,3,99,1,0
2015,100002,1,3,99,2,0
2015,100002,1,3,99,99,-1
2015,100002,1,4,1,1,-1
2015,100002,1,4,1,2,-1
2015,100002,1,4,1,99,0
2015,100002,1,4,2,1,-1
2015,100002,1,4,2,2,-1
2015,100002,1,4,2,99,0
2015,100002,1,4,3,1,-1
2015,100002,1,4,3,2,-1
2015,100002,1,4,3,99,0
2015,100002,1,4,4,1,-1
2015,100002,1,4,4,2,-1
2015,100002,1,4,4,99,0
2015,100002,1,4,5,1,-1
2015,100002,1,4,5,2,-1
2015,100002,1,4,5,99,0
2015,100002,1,4,6,1,-1
2015,100002,1,4,6,2,-1
2015,100002,1,4,6,99,0
2015,100002,1,4,7,1,-1
2015,100002,1,4,7,2,-1
2015,100002,1,4,7,99,0
2015,100002,1,4,99,1,0
2015,100002,1,4,99,2,0
2015,100002,1,4,99,99,-1
2015,100002,1,5,1,1,-1
2010,100005,1,1,99,1,206
2010,100005,1,1,99,2,214
2010,100005,1,1,99,99,420
2010,100005,1,2,1,1,96
2010,100005,1,2,1,2,104
2010,100005,1,2,1,99,200
2010,100005,1,2,2,1,6
2010,100005,1,2,2,2,4
2010,100005,1,2,2,99,10
2010,100005,1,2,3,1,95
2010,100005,1,2,3,2,61
2010,100005,1,2,3,99,156
2010,100005,1,2,4,1,0
2010,100005,1,2,4,2,2
2010,100005,1,2,4,99,2
2010,100005,1,2,5,1,0
2010,100005,1,2,5,2,0
2010,100005,1,2,5,99,0
2010,100005,1,2,6,1,0
2010,100005,1,2,6,2,0
2010,100005,1,2,6,99,0
2010,100005,1,2,7,1,0
2010,100005,1,2,7,2,0
2010,100005,1,2,7,99,0
2010,100005,1,2,99,1,197
2010,100005,1,2,99,2,171
2010,100005,1,2,99,99,368
2010,100005,1,3,1,1,90
2010,100005,1,3,1,2,96
2010,100005,1,3,1,99,186
2010,100005,1,3,2,1,3
2010,100005,1,3,2,2,4
2010,100005,1,3,2,99,7
2010,100005,1,3,3,1,65
2010,100005,1,3,3,2,62
2010,100005,1,3,3,99,127
2010,100005,1,3,4,1,0
2010,100005,1,3,4,2,2
2010,100005,1,3,4,99,2
2010,100005,1,3,5,1,0
2010,100005,1,3,5,2,0
2010,100005,1,3,5,99,0
2010,100005,1,3,6,1,0
2010,100005,1,3,6,2,0
2010,100005,1,3,6,99,0
2010,100005,1,3,7,1,0
2010,100005,1,3,7,2,0
2010,100005,1,3,7,99,0
2016,100005,1,12,1,2,102
2016,100005,1,12,1,1,93
2016,100005,1,2,5,2,1
2016,100005,1,2,5,1,2
2016,100005,1,2,4,2,2
2016,100005,1,2,4,1,0
2016,100005,1,2,2,2,6
2016,100005,1,2,2,1,14
2016,100005,1,2,3,2,124
2016,100005,1,2,3,1,115
2016,100005,1,2,6,2,1
2016,100005,1,2,6,1,0
2016,100005,1,2,9,9,0
2016,100005,1,2,7,2,6
2016,100005,1,2,7,1,11
2016,100005,1,2,1,2,94
2016,100005,1,2,1,1,97
2016,100005,1,3,5,2,0
2016,100005,1,3,5,1,0
2016,100005,1,3,4,2,0
2016,100005,1,3,4,1,0
2016,100005,1,3,2,2,10
2016,100005,1,3,2,1,8
2016,100005,1,3,3,2,107
2016,100005,1,3,3,1,115
2016,100005,1,3,6,2,0
2016,100005,1,3,6,1,0
2016,100005,1,3,9,9,0
2016,100005,1,3,7,2,5
2016,100005,1,3,7,1,9
2016,100005,1,3,1,2,107
2016,100005,1,3,1,1,96
2016,100005,1,4,5,2,1
2016,100005,1,4,5,1,0
2016,100005,1,4,4,2,2
2016,100005,1,4,4,1,0
2016,100005,1,4,2,2,4
2016,100005,1,4,2,1,3
2016,100005,1,4,3,2,115
2016,100005,1,4,3,1,116
2016,100005,1,4,6,2,0
2016,100005,1,4,6,1,0
2016,100005,1,4,9,9,0
2011,100006,1,3,99,1,222
2011,100006,1,3,99,2,217
2011,100006,1,3,99,99,439
2011,100006,1,4,1,1,185
2011,100006,1,4,1,2,174
2011,100006,1,4,1,99,359
2011,100006,1,4,2,1,3
2011,100006,1,4,2,2,1
2011,100006,1,4,2,99,4
2011,100006,1,4,3,1,48
2011,100006,1,4,3,2,36
2011,100006,1,4,3,99,84
2011,100006,1,4,4,1,0
2011,100006,1,4,4,2,1
2011,100006,1,4,4,99,1
2011,100006,1,4,5,1,0
2011,100006,1,4,5,2,2
2011,100006,1,4,5,99,2
2011,100006,1,4,6,1,0
2011,100006,1,4,6,2,0
2011,100006,1,4,6,99,0
2011,100006,1,4,7,1,1
2011,100006,1,4,7,2,0
2011,100006,1,4,7,99,1
2011,100006,1,4,99,1,237
2011,100006,1,4,99,2,214
2011,100006,1,4,99,99,451
2011,100006,1,5,1,1,204
2011,100006,1,5,1,2,153
2011,100006,1,5,1,99,357
2011,100006,1,5,2,1,1
2011,100006,1,5,2,2,0
2011,100006,1,5,2,99,1
2011,100006,1,5,3,1,32
2011,100006,1,5,3,2,33
2011,100006,1,5,3,99,65
2011,100006,1,5,4,1,0
2011,100006,1,5,4,2,0
2011,100006,1,5,4,99,0
2011,100006,1,5,5,1,1
2011,100006,1,5,5,2,1
2011,100006,1,5,5,99,2
2011,100006,1,5,6,1,0
2011,100006,1,5,6,2,0
2011,100006,1,5,6,99,0
2011,100006,1,5,7,1,0
2011,100006,1,5,7,2,1
2011,100006,1,5,7,99,1
2011,100006,1,5,99,1,238
2011,100006,1,5,99,2,188
2011,100006,1,5,99,99,426
2011,100006,1,6,1,1,197
2011,100006,1,6,1,2,201
2011,100006,1,6,1,99,398
2011,100006,1,6,2,1,4
2011,100006,1,6,2,2,2
2011,100006,1,6,2,99,6
2011,100006,1,6,3,1,36
2011,100006,1,6,3,2,26
2011,100006,1,6,3,99,62
2011,100006,1,6,4,1,1
2011,100006,1,6,4,2,0
2009,100006,1,12,7,99,0
2009,100006,1,12,99,1,207
2009,100006,1,12,99,2,181
2009,100006,1,12,99,99,389
2009,100006,1,99,1,1,2623
2009,100006,1,99,1,2,2356
2009,100006,1,99,1,99,4979
2009,100006,1,99,2,1,24
2009,100006,1,99,2,2,24
2009,100006,1,99,2,99,48
2009,100006,1,99,3,1,378
2009,100006,1,99,3,2,336
2009,100006,1,99,3,99,714
2009,100006,1,99,4,1,8
2009,100006,1,99,4,2,4
2009,100006,1,99,4,99,12
2009,100006,1,99,5,1,8
2009,100006,1,99,5,2,9
2009,100006,1,99,5,99,17
2009,100006,1,99,6,1,0
2009,100006,1,99,6,2,0
2009,100006,1,99,6,99,0
2009,100006,1,99,7,1,0
2009,100006,1,99,7,2,0
2009,100006,1,99,7,99,0
2009,100006,1,99,99,1,3041
2009,100006,1,99,99,2,2729
2009,100006,1,99,99,99,5777
2009,100007,1,-1,1,1,22
2009,100007,1,-1,1,2,9
2009,100007,1,-1,1,99,31
2009,100007,1,-1,2,1,8
2009,100007,1,-1,2,2,9
2009,100007,1,-1,2,99,17
2009,100007,1,-1,3,1,3
2009,100007,1,-1,3,2,4
2009,100007,1,-1,3,99,7
2009,100007,1,-1,4,1,2
2009,100007,1,-1,4,2,4
2009,100007,1,-1,4,99,6
2009,100007,1,-1,5,1,0
2009,100007,1,-1,5,2,0
2009,100007,1,-1,5,99,0
2009,100007,1,-1,6,1,0
2009,100007,1,-1,6,2,0
2009,100007,1,-1,6,99,0
2009,100007,1,-1,7,1,0
2009,100007,1,-1,7,2,0
2009,100007,1,-1,7,99,0
2009,100007,1,-1,99,1,35
2009,100007,1,-1,99,2,26
2009,100007,1,-1,99,99,63
2009,100007,1,0,1,1,326
2009,100007,1,0,1,2,250
2009,100007,1,0,1,99,576
2009,100007,1,0,2,1,97
2009,100007,1,0,2,2,114
2009,100007,1,0,2,99,211
2009,100007,1,0,3,1,39
2009,100007,1,0,3,2,50
2009,100007,1,0,3,99,89
2012,100005,1,4,99,1,177
2012,100005,1,4,99,2,178
2012,100005,1,4,99,99,355
2012,100005,1,5,1,1,90
2012,100005,1,5,1,2,92
2012,100005,1,5,1,99,182
2012,100005,1,5,2,1,1
2012,100005,1,5,2,2,2
2012,100005,1,5,2,99,3
2012,100005,1,5,3,1,52
2012,100005,1,5,3,2,62
2012,100005,1,5,3,99,114
2012,100005,1,5,4,1,0
2012,100005,1,5,4,2,1
2012,100005,1,5,4,99,1
2012,100005,1,5,5,1,1
2012,100005,1,5,5,2,0
2012,100005,1,5,5,99,1
2012,100005,1,5,6,1,0
2012,100005,1,5,6,2,0
2012,100005,1,5,6,99,0
2012,100005,1,5,7,1,4
2012,100005,1,5,7,2,4
2012,100005,1,5,7,99,8
2012,100005,1,5,99,1,148
2012,100005,1,5,99,2,161
2012,100005,1,5,99,99,309
2012,100005,1,6,1,1,86
2012,100005,1,6,1,2,94
2012,100005,1,6,1,99,180
2012,100005,1,6,2,1,3
2012,100005,1,6,2,2,6
2012,100005,1,6,2,99,9
2012,100005,1,6,3,1,59
2012,100005,1,6,3,2,60
2012,100005,1,6,3,99,119
2012,100005,1,6,4,1,1
2012,100005,1,6,4,2,1
2012,100005,1,6,4,99,2
2012,100005,1,6,5,1,0
2012,100005,1,6,5,2,0
2012,100005,1,6,5,99,0
2012,100005,1,6,6,1,0
2012,100005,1,6,6,2,0
2012,100005,1,6,6,99,0
2012,100005,1,6,7,1,3
2012,100005,1,6,7,2,2
2012,100005,1,6,7,99,5
2012,100005,1,6,99,1,152
2012,100005,1,6,99,2,163
2012,100005,1,6,99,99,315
2012,100005,1,7,1,1,88
2012,100005,1,7,1,2,102
2012,100005,1,7,1,99,190
2012,100005,1,7,2,1,0
2012,100005,1,7,2,2,2
2012,100005,1,7,2,99,2
2012,100005,1,7,3,1,59
2012,100005,1,7,3,2,53
2012,100005,1,7,3,99,112
2012,100005,1,7,4,1,2
2012,100005,1,7,4,2,0
2012,100005,1,7,4,99,2
2012,100005,1,7,5,1,0
2012,100005,1,7,5,2,0
2012,100005,1,7,5,99,0
2012,100005,1,7,6,1,0
2012,100005,1,7,6,2,0
2012,100005,1,7,6,99,0
2012,100005,1,7,7,1,1
2012,100005,1,7,7,2,4
2012,100005,1,7,7,99,5
2012,100005,1,7,99,1,150
2012,100005,1,7,99,2,161
2012,100005,1,7,99,99,311
2012,100005,1,8,1,1,96
2012,100005,1,8,1,2,107
2012,100005,1,8,1,99,203
2012,100005,1,8,2,1,2
2012,100005,1,8,2,2,2
2012,100005,1,8,2,99,4
2012,100005,1,8,3,1,54