"YEAR","REGION","GRADE","ENROLLMENT"
"2019-2020",01,"Early Education",878
"2019-2020",01,"Pre-kindergarten",31676
"2019-2020",01,"Kindergarten",29896
"2019-2020",01,"Grade 1",30784
"2019-2020",01,"Grade 2",30437
"2019-2020",01,"Grade 3",30071
"2019-2020",01,"Grade 4",29614
"2019-2020",01,"Grade 5",31371
"2019-2020",01,"Grade 6",33183
"2019-2020",01,"Grade 7",33078
"2019-2020",01,"Grade 8",32244
"2019-2020",01,"Grade 9",35715
"2019-2020",01,"Grade 10",32430
"2019-2020",01,"Grade 11",29498
"2019-2020",01,"Grade 12",28763
"2019-2020",02,"Early Education",456
"2019-2020",02,"Pre-kindergarten",4439
"2019-2020",02,"Kindergarten",7277
"2019-2020",02,"Grade 1",7251
"2019-2020",02,"Grade 2",7068
"2019-2020",02,"Grade 3",7211
"2019-2020",02,"Grade 4",7309
"2019-2020",02,"Grade 5",7722
"2019-2020",02,"Grade 6",7905
"2019-2020",02,"Grade 7",7731
"2019-2020",02,"Grade 8",7791
"2019-2020",02,"Grade 9",8288
"2019-2020",02,"Grade 10",7326
"2019-2020",02,"Grade 11",6774
"2019-2020",02,"Grade 12",6665
"2019-2020",03,"Early Education",303
"2019-2020",03,"Pre-kindergarten",2471
"2019-2020",03,"Kindergarten",3744
"2019-2020",03,"Grade 1",3803
"2019-2020",03,"Grade 2",3674
"2019-2020",03,"Grade 3",3675
"2019-2020",03,"Grade 4",3875
"2019-2020",03,"Grade 5",3939
"2019-2020",03,"Grade 6",4200
"2019-2020",03,"Grade 7",4137
"2019-2020",03,"Grade 8",3928
"2019-2020",03,"Grade 9",4211
"2019-2020",03,"Grade 10",3788
"2019-2020",03,"Grade 11",3609
"2019-2020",03,"Grade 12",3505
"2019-2020",04,"Early Education",6132
"2019-2020",04,"Pre-kindergarten",54215
"2019-2020",04,"Kindergarten",85869
"2019-2020",04,"Grade 1",89195
"2019-2020",04,"Grade 2",89022
"2019-2020",04,"Grade 3",90389
"2019-2020",04,"Grade 4",92407
"2019-2020",04,"Grade 5",96619
"2019-2020",04,"Grade 6",96063
"2019-2020",04,"Grade 7",96686
"2019-2020",04,"Grade 8",93332
"2019-2020",04,"Grade 9",101458
"2019-2020",04,"Grade 10",90873
"2019-2020",04,"Grade 11",85969
"2019-2020",04,"Grade 12",80196
"2019-2020",05,"Early Education",598
"2019-2020",05,"Pre-kindergarten",4410
"2019-2020",05,"Kindergarten",6205
"2019-2020",05,"Grade 1",6437
"2019-2020",05,"Grade 2",6126
"2019-2020",05,"Grade 3",6043
"2019-2020",05,"Grade 4",6300
"2019-2020",05,"Grade 5",6461
"2019-2020",05,"Grade 6",6418
"2019-2020",05,"Grade 7",6358
"2019-2020",05,"Grade 8",6203
"2019-2020",05,"Grade 9",6522
"2019-2020",05,"Grade 10",5843
"2019-2020",05,"Grade 11",5375
"2019-2020",05,"Grade 12",5211
"2019-2020",06,"Early Education",1104
"2019-2020",06,"Pre-kindergarten",7365
"2019-2020",06,"Kindergarten",14367
"2019-2020",06,"Grade 1",14575
"2019-2020",06,"Grade 2",14578
"2019-2020",06,"Grade 3",14619
"2019-2020",06,"Grade 4",15177
"2019-2020",06,"Grade 5",15857
"2019-2020",06,"Grade 6",16029
"2019-2020",06,"Grade 7",16086
"2019-2020",06,"Grade 8",15641
"2019-2020",06,"Grade 9",16778
"2019-2020",06,"Grade 10",15618
"2019-2020",06,"Grade 11",14335
"2019-2020",06,"Grade 12",13257
"2019-2020",07,"Early Education",583
"2019-2020",07,"Pre-kindergarten",7939
"2019-2020",07,"Kindergarten",12319
"2019-2020",07,"Grade 1",12394
"2019-2020",07,"Grade 2",12204
"2019-2020",07,"Grade 3",12303
"2019-2020",07,"Grade 4",12611
"2019-2020",07,"Grade 5",13050
"2019-2020",07,"Grade 6",13441
"2019-2020",07,"Grade 7",13841
"2019-2020",07,"Grade 8",13531
"2019-2020",07,"Grade 9",14516
"2019-2020",07,"Grade 10",13380
"2019-2020",07,"Grade 11",12537
"2019-2020",07,"Grade 12",11646
"2019-2020",08,"Early Education",259
"2019-2020",08,"Pre-kindergarten",3444
"2019-2020",08,"Kindergarten",4132
"2019-2020",08,"Grade 1",4096
"2019-2020",08,"Grade 2",4015
"2019-2020",08,"Grade 3",3958
"2019-2020",08,"Grade 4",4075
"2019-2020",08,"Grade 5",4218
"2019-2020",08,"Grade 6",4466
"2019-2020",08,"Grade 7",4442
"2019-2020",08,"Grade 8",4248
"2019-2020",08,"Grade 9",4636
"2019-2020",08,"Grade 10",4311
"2019-2020",08,"Grade 11",3957
"2019-2020",08,"Grade 12",3638
"2019-2020",09,"Early Education",204
"2019-2020",09,"Pre-kindergarten",2062
"2019-2020",09,"Kindergarten",2737
"2019-2020",09,"Grade 1",2725
"2019-2020",09,"Grade 2",2740
"2019-2020",09,"Grade 3",2687
"2019-2020",09,"Grade 4",2714
"2019-2020",09,"Grade 5",2869
"2019-2020",09,"Grade 6",2860
"2019-2020",09,"Grade 7",2819
"2019-2020",09,"Grade 8",2787
"2019-2020",09,"Grade 9",2742
"2019-2020",09,"Grade 10",2628
"2019-2020",09,"Grade 11",2515
"2019-2020",09,"Grade 12",2482
"2019-2020",10,"Early Education",4437
"2019-2020",10,"Pre-kindergarten",36213
"2019-2020",10,"Kindergarten",61949
"2019-2020",10,"Grade 1",62947
"2019-2020",10,"Grade 2",63276
"2019-2020",10,"Grade 3",63666
"2019-2020",10,"Grade 4",64998
"2019-2020",10,"Grade 5",67779
"2019-2020",10,"Grade 6",69047
"2019-2020",10,"Grade 7",69136
"2019-2020",10,"Grade 8",66728
"2019-2020",10,"Grade 9",72634
"2019-2020",10,"Grade 10",66104
"2019-2020",10,"Grade 11",61079
"2019-2020",10,"Grade 12",56849
"2019-2020",11,"Early Education",2892
"2019-2020",11,"Pre-kindergarten",21980
"2019-2020",11,"Kindergarten",41308
"2019-2020",11,"Grade 1",41873
"2019-2020",11,"Grade 2",41436
"2019-2020",11,"Grade 3",42215
"2019-2020",11,"Grade 4",43350
"2019-2020",11,"Grade 5",45212
"2019-2020",11,"Grade 6",45878
"2019-2020",11,"Grade 7",46012
"2019-2020",11,"Grade 8",45558
"2019-2020",11,"Grade 9",50583
"2019-2020",11,"Grade 10",46323
"2019-2020",11,"Grade 11",43406
"2019-2020",11,"Grade 12",40546
"2019-2020",12,"Early Education",663
"2019-2020",12,"Pre-kindergarten",9590
"2019-2020",12,"Kindergarten",13177
"2019-2020",12,"Grade 1",13431
"2019-2020",12,"Grade 2",13109
"2019-2020",12,"Grade 3",12963
"2019-2020",12,"Grade 4",13035
"2019-2020",12,"Grade 5",13414
"2019-2020",12,"Grade 6",13571
"2019-2020",12,"Grade 7",13683
"2019-2020",12,"Grade 8",13113
"2019-2020",12,"Grade 9",13842
"2019-2020",12,"Grade 10",12784
"2019-2020",12,"Grade 11",10911
"2019-2020",12,"Grade 12",10703
"2019-2020",13,"Early Education",2247
"2019-2020",13,"Pre-kindergarten",15831
"2019-2020",13,"Kindergarten",28057
"2019-2020",13,"Grade 1",28218
"2019-2020",13,"Grade 2",27613
"2019-2020",13,"Grade 3",28608
"2019-2020",13,"Grade 4",28813
"2019-2020",13,"Grade 5",29909
"2019-2020",13,"Grade 6",30161
"2019-2020",13,"Grade 7",30095
"2019-2020",13,"Grade 8",29743
"2019-2020",13,"Grade 9",32076
"2019-2020",13,"Grade 10",29267
"2019-2020",13,"Grade 11",27360
"2019-2020",13,"Grade 12",25604
"2019-2020",14,"Early Education",439
"2019-2020",14,"Pre-kindergarten",2403
"2019-2020",14,"Kindergarten",4695
"2019-2020",14,"Grade 1",4715
"2019-2020",14,"Grade 2",4472
"2019-2020",14,"Grade 3",4461
"2019-2020",14,"Grade 4",4555
"2019-2020",14,"Grade 5",4592
"2019-2020",14,"Grade 6",4734
"2019-2020",14,"Grade 7",4533
"2019-2020",14,"Grade 8",4518
"2019-2020",14,"Grade 9",4434
"2019-2020",14,"Grade 10",3793
"2019-2020",14,"Grade 11",3459
"2019-2020",14,"Grade 12",3177
"2019-2020",15,"Early Education",284
"2019-2020",15,"Pre-kindergarten",1825
"2019-2020",15,"Kindergarten",3616
"2019-2020",15,"Grade 1",3732
"2019-2020",15,"Grade 2",3643
"2019-2020",15,"Grade 3",3545
"2019-2020",15,"Grade 4",3693
"2019-2020",15,"Grade 5",3883
"2019-2020",15,"Grade 6",3950
"2019-2020",15,"Grade 7",3757
"2019-2020",15,"Grade 8",3788
"2019-2020",15,"Grade 9",3954
"2019-2020",15,"Grade 10",3577
"2019-2020",15,"Grade 11",3315
"2019-2020",15,"Grade 12",3029
"2019-2020",16,"Early Education",386
"2019-2020",16,"Pre-kindergarten",4182
"2019-2020",16,"Kindergarten",6227
"2019-2020",16,"Grade 1",6123
"2019-2020",16,"Grade 2",5919
"2019-2020",16,"Grade 3",6058
"2019-2020",16,"Grade 4",6137
"2019-2020",16,"Grade 5",6491
"2019-2020",16,"Grade 6",6486
"2019-2020",16,"Grade 7",6573
"2019-2020",16,"Grade 8",6199
"2019-2020",16,"Grade 9",6670
"2019-2020",16,"Grade 10",6024
"2019-2020",16,"Grade 11",5612
"2019-2020",16,"Grade 12",5246
"2019-2020",17,"Early Education",413
"2019-2020",17,"Pre-kindergarten",4115
"2019-2020",17,"Kindergarten",6147
"2019-2020",17,"Grade 1",6077
"2019-2020",17,"Grade 2",6057
"2019-2020",17,"Grade 3",6031
"2019-2020",17,"Grade 4",6411
"2019-2020",17,"Grade 5",6614
"2019-2020",17,"Grade 6",6588
"2019-2020",17,"Grade 7",6794
"2019-2020",17,"Grade 8",6105
"2019-2020",17,"Grade 9",6376
"2019-2020",17,"Grade 10",5911
"2019-2020",17,"Grade 11",5631
"2019-2020",17,"Grade 12",5242
"2019-2020",18,"Early Education",291
"2019-2020",18,"Pre-kindergarten",3745
"2019-2020",18,"Kindergarten",7633
"2019-2020",18,"Grade 1",7652
"2019-2020",18,"Grade 2",7313
"2019-2020",18,"Grade 3",7159
"2019-2020",18,"Grade 4",7135
"2019-2020",18,"Grade 5",7582
"2019-2020",18,"Grade 6",7483
"2019-2020",18,"Grade 7",7375
"2019-2020",18,"Grade 8",6653
"2019-2020",18,"Grade 9",7488
"2019-2020",18,"Grade 10",6470
"2019-2020",18,"Grade 11",5679
"2019-2020",18,"Grade 12",4957
"2019-2020",19,"Early Education",822
"2019-2020",19,"Pre-kindergarten",8234
"2019-2020",19,"Kindergarten",11041
"2019-2020",19,"Grade 1",11525
"2019-2020",19,"Grade 2",11761
"2019-2020",19,"Grade 3",11592
"2019-2020",19,"Grade 4",12192
"2019-2020",19,"Grade 5",12699
"2019-2020",19,"Grade 6",12900
"2019-2020",19,"Grade 7",13259
"2019-2020",19,"Grade 8",13293
"2019-2020",19,"Grade 9",15521
"2019-2020",19,"Grade 10",14285
"2019-2020",19,"Grade 11",13162
"2019-2020",19,"Grade 12",12466
"2019-2020",20,"Early Education",2492
"2019-2020",20,"Pre-kindergarten",23087
"2019-2020",20,"Kindergarten",33718
"2019-2020",20,"Grade 1",33896
"2019-2020",20,"Grade 2",34212
"2019-2020",20,"Grade 3",34541
"2019-2020",20,"Grade 4",35710
"2019-2020",20,"Grade 5",37163
"2019-2020",20,"Grade 6",37377
"2019-2020",20,"Grade 7",37150
"2019-2020",20,"Grade 8",35869
"2019-2020",20,"Grade 9",40678
"2019-2020",20,"Grade 10",36309
"2019-2020",20,"Grade 11",33025
"2019-2020",20,"Grade 12",31130

